Champ Name,Cost,Health,Mana,Armour,Damage,Attack Speed,Crit Rate %,Range,Sum Health,Sum Mana,Sum DPS,Sum Damage
jarvan_iv,3,850 / 1530 / 2754,30 / 90,50,50 / 90 / 162,0.65,25,1,5134,120,197,302
jax,1,650 / 1170 / 2106,20 / 80,40,55 / 99 / 178,0.6,25,1,3926,100,199,332
jhin,2,550 / 990 / 1782,14 / 84,20,44 / 79 / 143,0.74,25,4,3322,98,197,266
jinx,3,650 / 1170 / 2106,50,25,55 / 99 / 178,0.7,25,4,3926,50,233,332
kindred,1,500 / 900 / 1620,50,15,45 / 81 / 146,0.7,25,4,3020,50,190,272
kobuko,5,1000 / 1800 / 3240,100 / 220,50,20 / 36 / 65,0.8,25,1,6040,320,97,121
kogmaw,1,500 / 900 / 1620,40,15,50 / 90 / 162,0.7,25,4,3020,40,211,302
leblanc,2,550 / 990 / 1782,50,20,35 / 63 / 113,0.75,25,4,3322,50,158,211
leona,4,1100 / 1980 / 3564,50 / 110,60,60 / 108 / 194,0.6,25,1,6644,160,218,362
miss_fortune,4,800 / 1440 / 2592,50 / 150,30,50 / 90 / 162,0.75,25,4,4832,200,228,302
mordekaiser,3,850 / 1530 / 2754,30 / 80,50,50 / 90 / 162,0.6,25,1,5134,110,181,302
morgana,1,500 / 900 / 1620,40,15,30 / 54 / 97,0.7,25,4,3020,40,127,181
naafiri,2,700 / 1260 / 2268,50,45,50 / 90 / 162,0.8,25,1,4228,50,242,302
neeko,4,1000 / 1800 / 3240,30 / 95,60,60 / 108 / 194,0.65,25,1,6040,125,235,362
nidalee,1,650 / 1170 / 2106,20 / 60,40,40 / 72 / 130,0.75,25,1,3926,80,181,242
poppy,1,650 / 1170 / 2106,20 / 70,40,60 / 108 / 194,0.55,25,1,3926,90,199,362
renekton,5,1000 / 1800 / 3240,70 / 150,60,70 / 126 / 227,0.91,25,1,6040,220,385,423
rengar,3,800 / 1440 / 2592,20 / 60,50,65 / 117 / 211,0.8,25,1,4832,80,314,393
rhaast,2,700 / 1260 / 2268,50 / 100,40,60 / 108 / 194,0.75,25,1,4228,150,272,362
samira,5,900 / 1620 / 2916,20 / 100,50,60 / 108 / 194,0.8,25,4,5436,120,290,362
sejuani,4,1000 / 1800 / 3240,60 / 150,60,60 / 108 / 194,0.6,25,1,6040,210,218,362
senna,3,700 / 1260 / 2268,100,25,60 / 108 / 194,0.6,25,4,4228,100,218,362
seraphine,1,500 / 900 / 1620,10 / 60,15,35 / 63 / 113,0.7,25,4,3020,70,148,211
shaco,1,600 / 1080 / 1944,50,40,55 / 99 / 178,0.8,25,1,3624,50,266,332
shyvana,2,700 / 1260 / 2268,40 / 110,45,45 / 81 / 146,0.6,25,1,4228,150,163,272
skarner,2,800 / 1440 / 2592,25 / 75,50,60 / 108 / 194,0.6,25,1,4832,100,218,362
sylas,1,650 / 1170 / 2106,25 / 75,40,45 / 81 / 146,0.65,25,1,3926,100,177,272
twisted_fate,2,600 / 1080 / 1944,10 / 70,20,35 / 63 / 113,0.75,25,4,3624,80,158,211
urgot,5,850 / 1530 / 2754,50,40,60 / 108 / 194,0.8,25,4,5134,50,290,362
varus,3,700 / 1260 / 2268,15 / 75,25,35 / 63 / 113,0.7,25,4,4228,90,148,211
vayne,2,550 / 990 / 1782,60,20,50 / 90 / 162,0.7,25,4,3322,60,211,302
veigar,2,550 / 990 / 1782,40,20,35 / 63 / 113,0.7,25,4,3322,40,148,211
vex,4,800 / 1440 / 2592,30,30,30 / 54 / 97,0.8,25,4,4832,30,145,181
vi,1,650 / 1170 / 2106,30 / 70,40,55 / 99 / 178,0.6,25,1,3926,100,199,332
viego,5,1100 / 1980 / 3564,20 / 80,60,60 / 108 / 194,0.9,25,1,6644,100,326,362
xayah,4,800 / 1440 / 2592,25 / 75,30,55 / 99 / 178,0.8,25,4,4832,100,266,332
yuumi,3,650 / 1170 / 2106,30,25,35 / 63 / 113,0.75,25,4,3926,30,158,211
zac,5,850 / 1530 / 2754,30 / 80,40,70 / 126 / 227,0.8,25,1,5134,110,338,423
zed,4,1000 / 1800 / 3240,50,60,50 / 90 / 162,0.85,25,1,6040,50,258,302
zeri,4,800 / 1440 / 2592,40,30,68 / 122 / 220,0.75,25,5,4832,40,308,410
ziggs,4,850 / 1530 / 2754,20 / 70,30,40 / 72 / 130,0.75,25,4,5134,90,181,242
zyra,1,500 / 900 / 1620,10 / 60,15,30 / 54 / 97,0.7,25,4,3020,70,127,181
